"Well Name","Year","Month","Oil (m³)","Gas (10³m³)","Water (m³)"
"HIB-B-016-001","2021","1","14,085.80","1,101.30","2,606.30"
"","","2","10,792.00","925.40","4,410.80"
"","","3","12,274.40","1,094.10","5,061.10"
"","","4","9,689.50","832.40","3,852.10"
"","","5","8,471.40","838.20","5,071.60"
"","","6","7,493.70","774.90","4,185.90"
"","","7","7,506.60","768.40","4,506.10"
"","","8","7,294.90","736.80","4,291.50"
"","","9","","",""
"","","10","","",""
"","","11","","",""
"","","12","","",""
"Yearly Total:","","","77,608.30","7,071.50","33,985.40"
